PPM1K|152926_calculated
CCDC122|160857_calculated
SLC23A1|9963_calculated
LOC400927|400927_calculated
IP6K2|51447_calculated
THSD1P1|374500_calculated
C17orf48|56985_calculated
VN1R1|57191_calculated
ZNF85|7639_calculated
ZNF627|199692_calculated
C7orf36|57002_calculated
ZNF792|126375_calculated
ORMDL3|94103_calculated
LRP12|29967_calculated
ZRANB2|9406_calculated
PPAPDC1B|84513_calculated
EPB41L4A|64097_calculated
KDM3A|55818_calculated
WDR48|57599_calculated
RNMT|8731_calculated
VEZT|55591_calculated
CRBN|51185_calculated
RNF103|7844_calculated
ZNF639|51193_calculated
USP30|84749_calculated
GABPB1|2553_calculated
KLHL24|54800_calculated
FAM160B1|57700_calculated
ODF2L|57489_calculated
PGM2L1|283209_calculated
NAB1|4664_calculated
CCNJ|54619_calculated
MAP4K5|11183_calculated
ZNF280D|54816_calculated
MBTD1|54799_calculated
ZNF326|284695_calculated
MTF2|22823_calculated
TEX9|374618_calculated
ZNF519|162655_calculated
DCAF16|54876_calculated
ZNF280C|55609_calculated
ALG10B|144245_calculated
EFCAB7|84455_calculated
FAM179B|23116_calculated
ETAA1|54465_calculated
PRPF39|55015_calculated
OSBPL9|114883_calculated
SCGBL|284402_calculated
CHRNA5|1138_calculated
TXNRD3IT1|645840_calculated
MEX3C|51320_calculated
FAM108B1|51104_calculated
RALA|5898_calculated
USP13|8975|2of2_calculated
TRIM24|8805_calculated
ZMYND11|10771_calculated
LANCL1|10314_calculated
PNMA1|9240_calculated
CNKSR3|154043_calculated
TPM4|7171_calculated
PTPLAD1|51495_calculated
DNAJC18|202052_calculated
WDR31|114987_calculated
TMEM67|91147_calculated
TRIM16L|147166_calculated
SPATS2|65244_calculated
KIF9|64147_calculated
IFT81|28981_calculated
ZC4H2|55906_calculated
SAV1|60485_calculated
TET1|80312_calculated
CCNG1|900_calculated
RNASEH2B|79621_calculated
NUP35|129401_calculated
MRPL42|28977_calculated
RRP15|51018_calculated
NOL11|25926_calculated
ANAPC7|51434_calculated
UBA5|79876_calculated
NAE1|8883_calculated
TEX10|54881_calculated
BCKDHB|594_calculated
RFXAP|5994_calculated
COX11|1353_calculated
ZNF22|7570_calculated
TRUB1|142940_calculated
NT5C1B|93034_calculated
RDH14|57665_calculated
MSH6|2956_calculated
