pval	log2fc(high/low)	sig_label
AARS|16_calculated	0.0390899780175939	0.071084514017596	UnsigDEGs
AASDHPPT|60496_calculated	0.00177776783965858	0.125693319823436	Up
AASDH|132949_calculated	0.00276855724708508	0.156571171138578	Up
AASS|10157_calculated	0.0172233807658563	1.30418442273607	UnsigDEGs
AATF|26574_calculated	0.0460461469995437	-0.0402943527818575	UnsigDEGs
AATK|9625_calculated	0.0218687206154469	-0.4226885135124	UnsigDEGs
ABAT|18_calculated	0.209657763986582	-0.0978365536184896	UnsigDEGs
ABCA10|10349_calculated	0.546876434720461	0.141819827561367	UnsigDEGs
ABCA11P|79963_calculated	0.0105764813831894	0.494846197358354	UnsigDEGs
ABCA13|154664_calculated	0.71970687073698	0.159607156162342	UnsigDEGs
ABCA1|19_calculated	0.515244434689912	0.0836341926969207	UnsigDEGs
ABCA2|20_calculated	0.233559564938144	0.0980075499217558	UnsigDEGs
ABCA3|21_calculated	0.411961620887184	-0.133277258328193	UnsigDEGs
ABCA5|23461_calculated	0.53957763047212	-0.0872891479729837	UnsigDEGs
ABCA6|23460_calculated	0.60982914014484	0.217182382821025	UnsigDEGs
ABCA7|10347_calculated	0.00222272679601419	-0.194665027555615	Down
ABCA8|10351_calculated	0.0944785837257752	0.976032006632557	UnsigDEGs
ABCA9|10350_calculated	0.553927883470214	0.224235729739977	UnsigDEGs
ABCB10|23456_calculated	0.724664895076567	0.0147155231753955	UnsigDEGs
ABCB1|5243_calculated	0.0388002329834391	0.626876653427029	UnsigDEGs
ABCB4|5244_calculated	0.184969357830631	0.444494775294818	UnsigDEGs
ABCB6|10058_calculated	0.370656691009686	-0.0752144262821984	UnsigDEGs
ABCB7|22_calculated	0.26260522923977	0.0305372277049796	UnsigDEGs
ABCB8|11194_calculated	0.332465493892192	0.0570023366332506	UnsigDEGs
ABCB9|23457_calculated	0.17631304096719	0.14426997867619	UnsigDEGs
ABCC10|89845_calculated	0.0792877409232546	-0.0742183135882226	UnsigDEGs
ABCC13|150000_calculated	0.194529124497016	0.802248705998308	UnsigDEGs
ABCC1|4363_calculated	0.127650611587955	0.0707299374726539	UnsigDEGs
ABCC2|1244_calculated	0.159811924501127	0.184021179476827	UnsigDEGs
ABCC3|8714_calculated	0.901264373092194	-0.0454576744405353	UnsigDEGs
ABCC4|10257_calculated	0.864674338134346	-0.0199974081422722	UnsigDEGs
ABCC5|10057_calculated	0.582521709510034	-0.033986987452522	UnsigDEGs
ABCC6|368_calculated	0.38689785068068	-0.141347528168406	UnsigDEGs
ABCC9|10060_calculated	0.290571407151114	0.67829513371838	UnsigDEGs
ABCD1|215_calculated	0.00236525228462218	-0.222328062713896	Down
ABCD2|225_calculated	0.0928063220794641	0.463531021485231	UnsigDEGs
ABCD3|5825_calculated	0.474025678061708	0.0339900349043441	UnsigDEGs
ABCD4|5826_calculated	0.203020130664976	0.0474493012972179	UnsigDEGs
ABCE1|6059_calculated	0.0145562529135708	0.103880619797777	UnsigDEGs
ABCF1|23_calculated	0.141683858728937	-0.0275336030518198	UnsigDEGs
ABCF2|10061_calculated	0.374844794104679	-0.024710831407173	UnsigDEGs
ABCF3|55324_calculated	0.150744708776634	-0.0333269369824297	UnsigDEGs
ABCG1|9619_calculated	0.358604262992179	0.143049575917721	UnsigDEGs
ABCG2|9429_calculated	0.0602961799624787	0.7492274185026	UnsigDEGs
ABHD10|55347_calculated	0.000662942603650188	0.130033310755932	Up
ABHD11|83451_calculated	0.0160000427998912	-0.177828497255875	UnsigDEGs
ABHD12B|145447_calculated	0.323427297332063	0.132441214693135	UnsigDEGs
ABHD12|26090_calculated	0.636547281323941	-0.0161984896445219	UnsigDEGs
