pval	log2fc(high/low)
C17orf47|284083_calculated	0.00871376239272616	1.05196671438938
C17orf48|56985_calculated	0.00469616436367478	0.164509809367972
C17orf55|284185_calculated	0.00123813982383529	-1.10086085689383
C17orf57|124989_calculated	0.003491873035624	0.255646440238684
C17orf69|147081_calculated	0.00213468296532477	0.564233530768738
C18orf19|125228_calculated	0.00991825446830377	0.133305873706403
C18orf54|162681_calculated	0.000895955111297393	0.293711008964517
C19orf12|83636_calculated	0.0038820974937688	0.126630729373614
C19orf35|374872_calculated	0.00297692120759899	-0.29261609659394
C19orf53|28974_calculated	0.00325454986259863	-0.0952157812995789
C19orf57|79173_calculated	0.00720086284550784	0.609456704282603
C1R|715_calculated	0.00413312849104586	0.522566885923329
C1orf107|27042_calculated	0.00251299339197172	0.213116551694712
C1orf114|57821_calculated	0.00234331551596625	0.621056666730892
C1orf127|148345_calculated	0.00615601239260334	-0.50924387539601
C1orf192|257177_calculated	0.000806252608892046	0.238447829583039
C1orf21|81563_calculated	0.000214305031144061	1.03815141061451
C1orf27|54953_calculated	0.00461858088570151	0.0865188664076673
C1orf38|9473_calculated	0.00639563703948362	-0.197940151892176
C1orf77|26097_calculated	0.000365905160039395	0.081297920843831
C20orf177|63939_calculated	0.0073892691068367	0.15895066049482
C22orf36|388886_calculated	0.00565615809805376	-0.436244978729784
C2CD2L|9854_calculated	3.83687697608478e-06	-0.213911327303517
C2orf16|84226_calculated	0.00924767753433166	0.391863168985617
C2orf29|55571_calculated	0.00753461480614483	0.0420725858534996
C2orf47|79568_calculated	0.00721084435429642	0.100258629090993
C2orf52|151477_calculated	0.00430213272342001	0.53954589587988
C2orf86|51057_calculated	0.00577269465063467	0.217116191457148
C3orf23|285343_calculated	0.00699148784555515	0.136236965369321
C3orf31|132001_calculated	0.00435537985013065	0.147864814367589
C3orf49|132200_calculated	0.0027340693567605	0.432878973645753
C4orf23|152992_calculated	0.00976777804579866	0.134515548743628
C4orf27|54969_calculated	0.00794051946814394	0.125132079839332
C4orf29|80167_calculated	0.00139862522987724	0.11727631562741
C4orf41|60684_calculated	0.00458230668760344	0.0740362635126569
C4orf48|401115_calculated	0.00660227877254438	-0.380271529241414
C5AR1|728_calculated	0.00213710381012772	-0.667032688995914
C5orf51|285636_calculated	0.0050025665336543	0.143414173821796
C6orf1|221491_calculated	0.00677999807872792	-0.184502938661646
C6orf64|55776_calculated	2.1064361675385e-05	0.252883270403688
C6orf72|116254_calculated	0.00253667481417872	0.0650880551741431
C7orf27|221927_calculated	0.00785423730222493	-0.111860445112666
C7orf30|115416_calculated	0.00307275705096141	0.116049837474217
C7orf31|136895_calculated	0.00819591419764367	0.162968299210806
C7orf36|57002_calculated	0.00546122115429808	0.213728661271823
C7orf44|55744_calculated	0.000998124043923164	0.127690775857791
C7orf59|389541_calculated	0.000322938700796628	-0.115238661734886
C7orf64|84060_calculated	0.00430073669752103	0.119254523859402
C8orf38|137682_calculated	0.00942684718170099	0.146645062179025
C9orf102|375748_calculated	0.00915495065158085	0.198418235999453
C9orf167|54863_calculated	0.00371658456748893	-0.138719192935996
C9orf93|203238_calculated	0.00627893969188932	0.474597906629109
CA13|377677_calculated	0.0074048260635898	0.508048350208075
CA8|767_calculated	0.00746007922223647	1.05035867251231
CABP7|164633_calculated	0.00162781214056947	-0.218078069258345
CACNA2D4|93589_calculated	0.00258522323769969	-0.435431969685485
CALB1|793_calculated	0.00649311638275188	0.5961737441415
CALCRL|10203_calculated	0.00105812858467154	0.800381247127694
CAMK1|8536_calculated	0.00831584936910783	-0.321188214316615
CAMKK1|84254_calculated	0.00221379437986611	-0.301909639789298
CAMTA2|23125_calculated	0.00460470542570536	-0.13245722411944
CAND1|55832_calculated	0.00217415911015663	0.094590335253872
CAPG|822_calculated	0.00064851159756577	-0.247385666977751
CAPN1|823_calculated	0.000666624159630729	-0.0751215964755926
CAPNS1|826_calculated	0.00425176889559352	-0.0703769907331139
