Gene,TCGA-AB-2805-03A-01T,TCGA-AB-2811-03B-01T,TCGA-AB-2812-03A-01T,TCGA-AB-2816-03A-01T,TCGA-AB-2818-03A-01T,TCGA-AB-2824-03A-01T,TCGA-AB-2825-03A-01T,TCGA-AB-2826-03A-01T,TCGA-AB-2833-03A-01T,TCGA-AB-2835-03A-01T,TCGA-AB-2836-03A-01T,TCGA-AB-2837-03A-01T,TCGA-AB-2839-03A-01T,TCGA-AB-2845-03B-01T,TCGA-AB-2848-03A-01T,TCGA-AB-2851-03A-01T,TCGA-AB-2853-03A-01T,TCGA-AB-2866-03A-01T,TCGA-AB-2867-03A-01T,TCGA-AB-2869-03A-01T,TCGA-AB-2871-03A-01T,TCGA-AB-2873-03A-01T,TCGA-AB-2877-03A-01T,TCGA-AB-2879-03A-01T,TCGA-AB-2880-03A-01T,TCGA-AB-2884-03A-01T,TCGA-AB-2900-03A-01T,TCGA-AB-2903-03A-01T,TCGA-AB-2909-03A-01T,TCGA-AB-2919-03A-01T,TCGA-AB-2921-03A-01T,TCGA-AB-2924-03A-01T,TCGA-AB-2925-03A-01T,TCGA-AB-2927-03A-01T,TCGA-AB-2931-03A-01T,TCGA-AB-2932-03A-01T,TCGA-AB-2934-03A-01T,TCGA-AB-2936-03A-01T,TCGA-AB-2938-03A-01T,TCGA-AB-2948-03A-01T,TCGA-AB-2955-03A-01T,TCGA-AB-2963-03A-01T,TCGA-AB-2964-03A-01T,TCGA-AB-2965-03A-01T,TCGA-AB-2966-03A-01T,TCGA-AB-2967-03A-01T,TCGA-AB-2969-03A-01T,TCGA-AB-2970-03A-01T,TCGA-AB-2971-03A-01T,TCGA-AB-2972-03A-01T,TCGA-AB-2973-03A-01T,TCGA-AB-2975-03A-01T,TCGA-AB-2976-03A-01T,TCGA-AB-2977-03A-01T,TCGA-AB-2978-03A-01T,TCGA-AB-2979-03A-01T,TCGA-AB-2981-03C-01T,TCGA-AB-2983-03A-01T,TCGA-AB-2984-03A-01T,TCGA-AB-2986-03A-01T,TCGA-AB-2987-03A-01T,TCGA-AB-2988-03C-01T,TCGA-AB-2990-03B-01T,TCGA-AB-2992-03A-01T,TCGA-AB-2993-03A-01T,TCGA-AB-2995-03A-01T,TCGA-AB-2996-03A-01T,TCGA-AB-3000-03A-01T,TCGA-AB-3002-03A-01T,TCGA-AB-3006-03A-01T,TCGA-AB-3008-03A-01T,TCGA-AB-3009-03A-01T,TCGA-AB-3011-03A-01T
hsa-mir-345,336.168938,179.366047,575.860017,167.469619,130.343124,663.906834,377.514945,607.682839,496.535639,329.83784,175.328233,215.485165,430.221834,967.816914,192.305655,206.456836,434.953889,722.982096,369.612557,283.627371,225.498278,345.082978,704.969191,368.823041,684.988229,155.090236,294.258646,191.006359,277.710449,570.776256,449.193435,407.925408,628.100465,521.739591,418.522637,557.321657,322.180917,348.123827,230.604851,784.02915,364.130607,432.593495,418.592778,342.157112,231.58587,485.618308,288.76485,971.215082,251.528078,303.278542,621.082008,505.657302,418.537068,178.092934,692.942041,452.87795,41.100644,1045.727677,457.012963,353.76855,39.588634,129.250427,781.757301,879.206074,400.746992,255.950386,727.688961,537.435074,674.496414,827.864165,280.876785,278.575216,405.23492
hsa-mir-346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.157127,0,0,0,0,1.203019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.854092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-34a,24.731775,129.249063,643.506224,131.94576,326.802324,483.427306,335.789609,250.151771,40.087281,189.804383,262.616108,165.011163,167.089214,60.290234,156.811223,74.891205,201.321514,318.869833,49.329336,399.946461,175.791669,296.506398,160.00154,249.741162,124.220663,167.46833,39.234486,82.23162,208.690435,465.679102,719.352733,157.641504,496.855592,202.163056,321.139928,478.180316,61.367794,67.955679,107.615597,326.971798,207.984322,149.370848,198.408138,310.233363,423.243142,97.123662,830.722069,78.482027,57.629345,74.980304,112.622871,71.042761,278.573945,64.513257,108.437495,33.619761,126.4235,144.191832,254.337649,174.851122,263.264419,5.275528,230.925599,146.066185,8.01494,51.558351,25.366064,55.557634,83.835712,484.736254,267.145031,1147.864145,180.450099
hsa-mir-34b,0,0,0,0,0,0,0,0.599884,0,0,0,0,0,1.586585,0,0,0,14.73326,0,0,0,0,0,2.756525,0,0,0,0,0,0,0,0,0,4.414041,0.743379,0,1.18015,2.38441,3.416368,18.985459,0,0,6.049029,0,0,0,1.046249,3.270084,0,0,0,0,0,0,4.408028,0,0,4.042762,0,0,0,0,0,0,0,1.84137,0,0,0,0,1.248341,2.237552,0
hsa-mir-34c,0,0.659434,0,1.691612,1.259354,3.222849,0.662307,0.599884,0,1.68715,0,0,1.315663,0.793293,0.529768,1.012043,0,25.257016,1.429836,0,0,0,0,7.71827,0,0,0,0,0,1.741942,0,0,1.562439,7.062465,0,0.833067,2.3603,0,5.124552,71.019681,0,0,3.629417,0,0.939496,0,1.046249,4.905127,0.600306,0,0,0,1.352301,0,22.040141,0,0.520261,13.475872,0.662338,0,1.979432,0,0,0,1.602988,0,0,2.267659,0,0,0,0,0.777802
hsa-mir-361,998.430906,1185.662322,867.259062,647.887515,1069.191419,839.552088,700.720722,635.877403,922.007462,529.765123,719.37249,606.335134,918.332844,1124.88884,510.166241,927.031677,1212.899987,835.586294,1755.838377,1158.410667,1257.21352,636.542458,1163.319467,748.120877,1297.810167,814.769833,708.672906,714.061919,1097.255177,2281.943728,1617.739603,785.219054,629.662904,1445.156871,898.74577,930.119029,1352.451761,1580.863681,573.095759,1164.441501,1958.466353,785.651863,1956.255845,555.800668,1612.175874,527.845987,594.269692,1088.938122,976.697334,1285.856253,626.050664,1063.551929,733.623131,834.129148,1161.074642,824.672949,556.679609,1344.892038,1473.701222,1112.134465,943.199217,770.227032,770.105092,1443.808058,1384.981606,1868.99023,1670.989467,1254.015173,1343.911876,1194.139593,1152.218989,1001.304493,1081.922789
hsa-mir-362,8.243925,41.544342,12.141627,33.832246,21.409015,40.285609,27.816891,24.595258,17.310417,16.027926,24.079414,33.649335,2.631326,15.072559,29.666988,25.301083,14.912705,49.461657,9.293933,19.120946,9.698851,27.127181,10.827172,14.33393,17.745809,24.028065,11.034699,4.68408,3.260788,8.129062,25.729457,17.930787,40.623413,52.085678,31.221937,54.982406,27.143447,7.153229,22.206393,21.79812,5.689541,19.398811,4.839223,20.463942,1.878993,10.55692,44.988727,70.306816,12.006114,17.905744,24.84328,9.05447,14.199157,14.538199,20.27693,0,36.938553,36.384855,10.597402,16.265221,30.681192,25.058756,21.715481,8.426895,11.220916,3.682739,28.536822,7.936805,10.161905,10.89295,4.993365,33.563279,5.444615
hsa-mir-363,140.146724,146.394347,26.017772,38.907083,40.299323,193.370922,34.43996,33.593523,112.973246,26.994401,90.297802,206.425729,28.944588,11.106096,45.560017,225.685659,29.82541,32.623646,54.333761,446.155415,145.48276,160.239628,31.278497,57.335719,20.111917,97.568505,25.747632,144.686016,6.521576,21.483949,39.666246,67.987568,121.870239,354.888859,173.207415,85.389342,100.31274,492.380619,546.618906,532.999189,6.321712,32.977979,90.735429,26.193846,1173.431041,59.118751,15.693742,16.350422,235.920131,254.037745,86.123372,569.735087,35.835969,31.80231,968.003005,27.686862,81.160765,766.777124,10.597402,28.464136,74.22869,381.15687,48.197774,85.673435,60.913543,734.706504,180.733206,12.472122,426.799991,122.545682,16.228436,1566.286357,13.222637
hsa-mir-365-1,0,11.869812,0,3.383225,1.889031,4.834273,1.986921,6.598728,7.288597,8.43575,6.019853,1.941308,0,7.932926,1.059535,7.084303,2.485451,14.73326,3.57459,1.593412,2.424713,9.46297,1.203019,1.10261,9.464431,2.912493,3.678233,1.040907,6.521576,0,0,1.494232,7.812195,11.476505,0.743379,6.248001,5.900749,4.76882,14.519565,7.031652,1.264342,0.969941,3.629417,2.455673,9.864713,4.222768,6.277497,4.905127,3.001528,1.119109,4.968656,4.178986,0.67615,1.817275,26.44817,3.955266,5.722874,12.128285,1.324675,0,15.835454,0,1.588938,0,1.602988,9.206848,3.170758,1.133829,8.891666,1.361619,8.738389,21.256743,1.555604
hsa-mir-365-2,4.579958,11.210378,1.734518,0,3.148385,4.834273,3.973842,2.999422,5.466447,5.905025,6.019853,5.176821,1.315663,10.312803,1.589303,12.14452,1.242725,29.466519,3.57459,1.593412,1.212356,8.832105,3.609057,0,4.732216,4.368739,3.678233,1.56136,5.978111,2.322589,2.144121,2.988465,7.812195,15.007738,5.203656,6.664534,3.54045,10.729844,17.935933,11.953808,4.425198,0.969941,6.049029,5.729904,6.106727,0,7.323746,3.270084,6.003057,0,3.312437,0.696498,1.352301,2.725912,18.513719,0,5.722874,2.695174,1.324675,4.066305,8.907443,0,2.118583,1.404483,1.602988,12.889588,6.341516,0,7.621428,2.723237,6.241706,15.662864,0.777802
