TCGA.AB.2811	TCGA.AB.2816	TCGA.AB.2818	TCGA.AB.2824	TCGA.AB.2826	TCGA.AB.2835	TCGA.AB.2836	TCGA.AB.2837	TCGA.AB.2839	TCGA.AB.2845	TCGA.AB.2848	TCGA.AB.2851	TCGA.AB.2866	TCGA.AB.2871	TCGA.AB.2873	TCGA.AB.2880	TCGA.AB.2884	TCGA.AB.2900	TCGA.AB.2909	TCGA.AB.2924	TCGA.AB.2927	TCGA.AB.2932	TCGA.AB.2948	TCGA.AB.2963	TCGA.AB.2967	TCGA.AB.2969	TCGA.AB.2971	TCGA.AB.2972	TCGA.AB.2973	TCGA.AB.2976	TCGA.AB.2977	TCGA.AB.2979	TCGA.AB.2986	TCGA.AB.2993	TCGA.AB.3000	TCGA.AB.3006	TCGA.AB.3008	TCGA.AB.2805	TCGA.AB.2812	TCGA.AB.2825	TCGA.AB.2833	TCGA.AB.2853	TCGA.AB.2867	TCGA.AB.2869	TCGA.AB.2877	TCGA.AB.2879	TCGA.AB.2903	TCGA.AB.2919	TCGA.AB.2921	TCGA.AB.2925	TCGA.AB.2931	TCGA.AB.2934	TCGA.AB.2936	TCGA.AB.2938	TCGA.AB.2955	TCGA.AB.2964	TCGA.AB.2965	TCGA.AB.2966	TCGA.AB.2970	TCGA.AB.2975	TCGA.AB.2978	TCGA.AB.2981	TCGA.AB.2983	TCGA.AB.2984	TCGA.AB.2987	TCGA.AB.2988	TCGA.AB.2990	TCGA.AB.2992	TCGA.AB.2995	TCGA.AB.2996	TCGA.AB.3002	TCGA.AB.3009	TCGA.AB.3011
ABI2|10152_calculated	2.14496000472086	2.30932173048402	2.38241825224835	2.98941153106785	1.96162332828694	1.73053127423073	2.98291145848944	2.4764076117735	3.52481592835751	1.72874772542976	2.75719396954664	2.3447432959556	1.47881652904942	4.03057444769903	1.94234559456875	1.01834930987889	2.37798438835347	2.42972307447451	3.69395523466592	2.56513407441037	3.77568270173906	2.48240947187384	2.28726542110509	3.51900085539774	2.94016675048282	1.77719875714952	3.48367391871065	3.77508215607559	1.64390235527739	3.7445163423989	2.71373979877778	0.507109593781773	2.95003908784433	3.48545258935167	0.775514152753426	4.25309675743481	2.02708326002007	2.96659658178771	3.89460437414332	1.76213616990111	2.23109442922292	3.79798828358894	2.2784606094434	3.75745001623129	4.25449578405251	4.33607625341044	3.76854429183898	4.46928689909387	2.65280769543112	2.01938167531808	4.31680465429389	3.021568560577	3.16632981792063	2.9907552284039	0.677079711166263	3.54309989219543	2.66550647203426	2.20041018787406	4.00106359544003	2.7694120783559	3.17673764739654	1.8639780843587	3.69307430164611	4.00024343424896	2.46045425804606	3.87338997198412	3.20415637093836	2.91718348736469	3.97173666673624	3.86023779302069	3.9079289622708	4.2742914841021	3.81226203528232
ABL2|27_calculated	2.05147651495395	2.90477308966433	2.91215163716285	2.62870361638044	2.82119997805645	2.2117286890994	2.66893602711903	2.79449904636892	3.44681202365835	2.77502946470335	3.17405481065709	2.58159227883601	2.61475695175561	3.06469319230428	2.22351522544052	3.06004738366994	2.84953896432579	2.83632813392398	3.10317868407836	2.80731370161043	2.88367946123358	2.38457483013535	2.39522735610665	3.17424660739241	2.77386976736374	2.36924311734564	3.09897531816732	2.7850482934589	2.51495543636791	3.44209421159696	1.84297883178833	2.16703672211749	3.14342607325891	3.52347413716436	2.77764064004608	3.55744685250626	2.76179587150565	3.11952218532947	3.59785292905755	2.95741318890934	2.50449327710845	3.32342771806093	3.07169403326968	3.40576096550038	3.65219964830406	3.62170025702082	3.53002078654576	3.20700260280982	2.73474213129706	2.61765111942733	3.25993529644865	2.45241093504907	2.99206140947953	2.5829413125018	3.09098888841477	3.5158259700415	3.0509021486352	3.36465647033599	2.790772037862	3.33957924952152	2.85195887270737	2.38380104482525	3.13589599082097	2.16214557128867	2.50258520244744	3.34198574722862	3.10453795205619	2.71898624772924	3.3212065669699	3.37284068858779	3.26599190280395	3.34242674043592	3.29638398590804
ABTB1|80325_calculated	5.99447111071399	4.98117223475728	5.28275855646504	4.4521077772432	4.32627127637464	5.00185177251238	5.16373218524722	4.94706295987706	4.33861695144652	4.73927566252092	4.97133201980803	5.8215877746164	4.78548254783222	4.95508492296436	4.68505991446457	4.81916233416907	5.30920165856441	5.2747275727873	4.85624872150633	5.37603680573247	5.60838346656225	6.14165553801119	5.18713825143573	4.0331234184872	4.85720969336015	4.01662111510763	4.14937318951797	3.79266797720268	4.82345895813995	4.05039721363622	6.08561373413448	6.22773530073534	4.84024668747296	4.16293506943496	6.22236408240553	3.95304169244538	5.6235654887377	4.63610254597701	3.19877700728981	5.376252175865	4.89957686050102	4.20017474704958	4.70709403839895	4.43329332581501	3.72906326957774	4.03836594162879	3.72787690084794	4.75156548177984	4.72553395186096	4.94968433059303	4.86090818689524	5.14529023931297	5.13896187571482	3.87179437529628	5.33929419107602	2.81639490916912	3.48864353985378	3.95784961090618	3.98908449645023	4.44819396306671	4.12874705924576	4.75953403883059	4.81419149945426	4.15849053157744	4.92233107265769	4.824177214879	4.291353068397	5.06855473696689	4.51552954291732	3.84815719709907	4.42155321275807	5.22894179522031	4.21360391085524
ACBD3|64746_calculated	3.95908387740094	4.22755626105045	4.48632179331742	4.29894418717164	4.51357917427279	3.91171075377207	4.07878059815054	4.07631965218804	4.24624085262828	4.36499957487007	4.07422282952891	3.81940250697405	3.83301149915836	4.00918590821219	3.96331689864069	4.12612211560609	3.94132232332833	3.83837699406972	3.63902373317984	4.19203631255154	3.64878753993286	3.99478787724108	4.06101577468163	4.69764595481872	4.39867187599761	4.39768661079659	4.4538533568745	4.31297731715699	4.37889998887171	4.17947124025644	3.36953627852947	3.44808160595612	4.30482495445105	4.1897534105209	4.47977379815448	4.31780330960886	4.0703893278914	4.56028085803762	4.5882289089481	4.08346017991576	4.37666545751677	4.68983028767501	4.54114928728077	4.19635524288275	4.28265478465211	4.23139400570514	4.77656199736589	4.06299376749185	4.16796802146725	4.04251301816989	4.14408716923891	4.05865418179713	4.09004888674065	5.25970560721132	4.45221323066205	4.40522997976256	4.80711273506305	4.72362954774812	4.53354466033388	4.30018230998012	4.53106325268201	4.01418565920647	4.46650966383229	4.13195159418502	4.2362323740541	4.22836465101706	4.17273551740869	3.97734404185467	4.01023380244647	4.08233641983228	3.91197913362047	4.31298457550694	4.01702216947474
ACBD7|414149_calculated	0.136585152847626	0	0.236706901995353	0.640158154963281	0.39780296186249	0.0718999315656331	0.0180643893603616	0.140255134034916	0.252900028700081	0.177981556313371	0.441589712419546	0.0271540515037266	0.0650207699484113	0.678883192919827	0.318114343609774	0.126840735277693	0.507109593781773	0.508935661864395	0.378067648780034	0.11410045158818	0.56579212147183	0.00662118012237996	0.525267091702033	0.369047643455913	0.141955885583644	0.117695042669755	0.286881147788162	0.37851162325373	0.142609487298665	0.397693455236692	0.0963968041871571	0.175301033900244	0.406645507672003	0.189033824390017	0.130008304108606	0.843662316291059	0.452068230223811	0.120750053334926	0.820485342986379	0.694746500577907	0.135928815526407	0.105275783415687	0.32527127079596	1.01106620140621	0.477677327565307	1.56296282851529	1.19478048882318	1.63035887205271	0.26663664251399	0.143915803071445	0.590051038733109	0.193834810653838	0.304627854492976	0.440845918237266	0.616169466186731	0.514299034728045	0.225028083254049	0.713431883073091	0.15224833075742	1.08637616759694	1.28516544947906	0.0517201164473276	0.340505300673985	0.878293743401042	0.148869043531001	0.298423711931038	0.865285393745862	0.20163386116965	1.51893792953157	0.222804561045261	0.966947205116526	0.493442391146413	0.629193396862183
ACER2|340485_calculated	0.132905812011507	0.256165277263056	0.91532967601301	1.70305639010798	0.758217883742129	0.398569275594983	0.993638135431586	0.767400556446066	0.454702328163688	0.795018812859228	0.869476633965402	0.593688408730069	0.480988873478695	1.50217781970755	1.00841517552987	0.571239931201488	0.812621439577092	0.377734578239275	1.20851725980554	0.809743695116745	1.0801118598616	0.764600935659289	0.778965477250099	0.892973815273334	0.748375355743325	0.961845549175257	0.833821137790582	1.19887127951782	0.496104379770732	1.11463354906894	0.196229325794221	0.699906932374876	0.139862368015641	1.00619028907207	0.588228908948105	1.28054066279671	1.05561215668669	0.750777988853492	1.07553263116736	0.569977093324568	0.556895319060806	1.00597479527682	0.838750118333138	1.17925624719051	1.17931995217985	1.25695025313391	0.953078952612507	1.57492497800934	1.17740757777352	0.879627356812398	0.977975913199126	0.865681314339167	1.47212380248144	1.77458678118316	0.576957420290858	1.24543481400231	1.11776152478036	1.31585601540396	1.04320449856517	0.845590408847855	0.986884170827275	0.645793870079994	1.28611229395516	0.621993231666123	0.86488936446975	0.885340078224666	0.905658970272048	0.957394614831757	1.8015725694636	1.7921057056629	0.614285806119046	2.03072451188776	1.23988680079572
ACO1|48_calculated	1.7365182893677	2.58906833355109	3.01692414425782	3.49519627223827	2.64961545906341	2.71666172490717	3.18038659279099	3.13032138360725	2.72032224894043	2.60712906225117	2.77559842970767	2.8264366264226	2.26480662953207	3.37172612190621	2.76621350198166	2.30266999336995	2.82234265837431	2.73000948814076	3.39218001670781	3.05267672430358	2.80852920998139	2.72353671883831	3.12222543059444	3.03084808244153	2.98984746193827	3.08125439956588	2.88510575402488	3.94137866906568	2.85121933145699	3.12043488962733	2.13809359648728	1.57777926217268	2.94148196386898	3.41631281885834	2.83993943797674	3.59867486554181	2.42484148847096	3.12464244945057	3.31678293671659	3.03440942359082	2.6877773773963	3.18824265626441	3.02945288578697	3.55090066464752	3.48599348892075	3.49495316056489	3.47985138673735	3.69256110539988	3.24839821082101	2.98759373325804	3.76244449600383	2.71400367422801	3.28698461605816	3.96778650951153	3.25628607058509	4.0498746810486	3.40508017921352	2.01628236012999	2.69855188231038	3.36332529283624	3.64114137036725	3.00259451670845	3.24380615485353	1.83568158412171	3.14745324049521	2.96687339675998	2.88592572226917	2.94631913744168	3.45851324773499	3.33302292943288	3.20756492913943	3.3273855736903	3.09384746966962
ACP1|52_calculated	4.5562883886422	4.26075585432958	4.36091905257064	4.61361415762808	4.42661364340622	4.4449121769728	4.39019991683457	3.92488849541722	5.00388553114432	4.94147726881109	4.07999243781935	4.23475421454713	4.16998911979707	4.96943142047929	3.91410523711847	4.66257011582815	4.4753378513564	4.61776276971292	4.63430284166251	4.50952483633758	4.56755153187114	4.0755069602087	4.47908178207735	4.91677279646466	4.44035427232892	4.64151134850144	4.29677307709189	5.0426662227862	4.18902591485605	4.89901123897214	4.55022347308205	4.53520693447791	5.22635824124759	4.63672321341869	4.7337122581398	4.71380027449817	4.90203980344619	4.45552449844529	4.84794180256702	4.17017344419518	4.38210002239355	5.11781969411411	4.79948627216115	4.80038224830338	4.78484943457416	4.75380774858208	4.69698977485372	4.95302771963461	4.89993448958307	4.47490972498662	4.7246939229649	4.41391897713882	4.9547034914182	4.7261336731819	4.79753702724707	4.80825632479914	4.71515756218067	4.96782339081175	4.82397858389389	4.84434547714267	5.03565469862562	4.10287645053129	4.55937556082934	4.99431722758775	4.157553092113	5.0185985691824	4.94953493301701	4.26239557129761	5.1957058651024	4.5862303128838	5.04251739567042	4.83585840386785	4.608815155348
ACTR1A|10121_calculated	5.95010209481199	5.57351995208398	5.08471061068351	5.51679996641805	5.24593674001195	5.52763964218759	5.39275016638273	5.44145028021683	4.99080967623255	5.14355668413114	5.2986619809436	5.48468274568979	5.53473708485324	4.83704001371034	5.32498697002754	5.51145538843961	5.42961931151813	5.47966710703929	5.07569520329886	5.19288851219136	5.19184291941432	5.64859198967367	5.34408281721962	5.09672147861732	5.28951358473944	5.52941805984542	4.86896326854108	5.04891621281806	5.20469633540386	5.00531464522535	6.23211580628568	5.67356773033331	5.40540699672383	4.69350368430138	5.26212492078393	4.95231492677846	5.56650771155198	5.37410050500995	4.97452931248388	5.65409464783039	5.57241677490359	4.92819500952183	4.70985304479512	5.08361335212942	5.17865090945123	5.08098163649117	5.3015474086043	5.0210265931579	5.40793052929529	5.56425011302634	5.72518490833823	5.40431050389921	4.89728399624359	4.9583137447431	5.20030424425784	5.13411002215383	5.21761848535105	5.17644246029515	4.98359561742424	5.20120255633964	4.99258717628777	5.44803864357182	4.7322366326544	4.74826800197834	5.52953362799871	5.00904254725803	4.73936208314174	4.94104995457068	5.07166400397955	5.05088909219731	5.02897131810064	5.04479626919399	5.16253634630999
ACTR6|64431_calculated	1.94335876267781	3.51737648934187	3.71906293700246	3.80811728797168	3.41466325171528	3.17231148829608	3.53198024963647	3.09242734436089	3.81727533165067	3.84559040884785	3.01610403608234	3.06992552994245	2.76504669343848	3.593867647029	3.03954201123734	3.49369856513378	3.36716135636102	3.53023308623751	3.0767130017556	3.51002512894388	3.5170110698516	2.92586653262999	2.73150911478991	4.03566789366514	3.17520520878375	3.27963472248915	3.33863834282303	3.59925827534838	3.23109442922292	4.2567012205096	3.00592091679824	2.7995847013697	4.04257430196874	3.57378652768672	3.54879417146503	3.79136608907611	3.62392537360583	3.56912648346323	4.06972794108493	3.37792887873281	3.27709208250431	4.35806565335427	3.79086585168577	3.92445148782873	3.8838065171099	3.86766917221276	4.07026909829502	3.48082089211243	3.93681693985354	3.51605297941952	3.76125335497666	3.12201002012581	3.21263158972095	3.68467289009167	3.31369571671436	3.83579273049192	4.06098120047898	3.75241677620238	3.94346191581168	3.34945020612112	3.7358145858455	3.52421415767581	3.68782215864321	3.61582823523496	3.45607016078131	3.85913468974394	3.59063794565165	2.98772105368509	3.37679046057705	3.20342044182815	3.27272495072626	3.97621697566952	3.28129765190418
